nodes,iter,rs,init,fini,open,close,write,read,flush,prefetch,interface,workload,storage,access_pattern,file_sharing,process_grouping
1,1024,  4096,0.000000,0.000000,0.004236,0.000134,0.015737,0.016984,0.000000,0.000000,  POSIX, raw,2,0,0,0
1,1024,  4096,0.000000,0.000000,0.000979,0.000066,0.010814,0.008185,0.000000,0.000000,  POSIX, raw,2,0,0,1
1,1024,  4096,0.000000,0.000000,0.000877,0.000195,0.010655,0.009346,0.000000,0.000000,  POSIX, raw,2,0,0,2
1,1024,  4096,0.000000,0.000000,0.003041,0.000163,0.007528,0.007615,0.000000,0.000000,  STDIO, raw,2,0,0,0
1,1024,  4096,0.000000,0.000000,0.001002,0.000146,0.006636,0.005315,0.000000,0.000000,  STDIO, raw,2,0,0,1
1,1024,  4096,0.000000,0.000000,0.000965,0.000184,0.006470,0.005431,0.000000,0.000000,  STDIO, raw,2,0,0,2
1,1024,  4096,0.000000,0.000000,0.009251,0.000996,0.016359,0.016566,0.000000,0.000000,  MPIIO, raw,2,0,0,0
1,1024,  4096,0.000000,0.000000,0.006545,0.000568,0.012749,0.008494,0.000000,0.000000,  MPIIO, raw,2,0,0,1
1,1024,  4096,0.000000,0.000000,0.003253,0.000683,0.012532,0.009873,0.000000,0.000000,  MPIIO, raw,2,0,0,2
1,1024,  4096,0.000000,0.000000,0.000065,0.000011,0.019858,0.000000,0.000000,0.000000,  POSIX,update,2,0,0,0
1,1024,  4096,0.000000,0.000000,0.001357,0.000167,0.028634,0.000000,0.000000,0.000000,  STDIO,update,2,0,0,0
1,1024,  4096,0.000000,0.000000,0.000943,0.000513,0.017107,0.000000,0.000000,0.000000,  MPIIO,update,2,0,0,0
1,1024,  4096,0.000000,0.000000,0.003889,0.000153,0.000580,0.016750,0.000000,0.000000,  POSIX,worm,2,0,0,0
1,1024,  4096,0.000000,0.000000,0.001284,0.000110,0.000659,0.007978,0.000000,0.000000,  POSIX,worm,2,0,0,1
1,1024,  4096,0.000000,0.000000,0.000819,0.000067,0.000501,0.009750,0.000000,0.000000,  POSIX,worm,2,0,0,2
1,1024,  4096,0.000000,0.000000,0.004622,0.000364,0.000694,0.007770,0.000000,0.000000,  STDIO,worm,2,0,0,0
1,1024,  4096,0.000000,0.000000,0.001102,0.000300,0.000893,0.005352,0.000000,0.000000,  STDIO,worm,2,0,0,1
1,1024,  4096,0.000000,0.000000,0.000843,0.000078,0.000470,0.005688,0.000000,0.000000,  STDIO,worm,2,0,0,2
1,1024,  4096,0.000000,0.000000,0.008826,0.001500,0.000770,0.016738,0.000000,0.000000,  MPIIO,worm,2,0,0,0
1,1024,  4096,0.000000,0.000000,0.003525,0.000565,0.000684,0.008415,0.000000,0.000000,  MPIIO,worm,2,0,0,1
1,1024,  4096,0.000000,0.000000,0.003087,0.000534,0.000547,0.010091,0.000000,0.000000,  MPIIO,worm,2,0,0,2
1,1024,  4096,0.000000,0.000000,0.000036,0.000010,0.000000,0.016635,0.000000,0.000000,  POSIX,  ro,2,1,0,0
1,1024,  4096,0.000000,0.000000,0.000032,0.000024,0.000000,0.007618,0.000000,0.000000,  STDIO,  ro,2,1,0,0
1,1024,  4096,0.000000,0.000000,0.000852,0.000550,0.000000,0.016605,0.000000,0.000000,  MPIIO,  ro,2,1,0,0
1,1024,  4096,0.000000,0.000000,0.002724,0.000154,0.015608,0.016889,0.000000,0.000000,  POSIX, raw,2,1,0,0
1,1024,  4096,0.000000,0.000000,0.001301,0.000057,0.010455,0.008097,0.000000,0.000000,  POSIX, raw,2,1,0,1
1,1024,  4096,0.000000,0.000000,0.000820,0.000200,0.010640,0.009452,0.000000,0.000000,  POSIX, raw,2,1,0,2
1,1024,  4096,0.000000,0.000000,0.003846,0.000165,0.007677,0.007715,0.000000,0.000000,  STDIO, raw,2,1,0,0
1,1024,  4096,0.000000,0.000000,0.001346,0.000138,0.006540,0.005307,0.000000,0.000000,  STDIO, raw,2,1,0,1
1,1024,  4096,0.000000,0.000000,0.000856,0.000330,0.006436,0.005661,0.000000,0.000000,  STDIO, raw,2,1,0,2
1,1024,  4096,0.000000,0.000000,0.007503,0.001163,0.016291,0.016646,0.000000,0.000000,  MPIIO, raw,2,1,0,0
1,1024,  4096,0.000000,0.000000,0.003546,0.000574,0.012691,0.008284,0.000000,0.000000,  MPIIO, raw,2,1,0,1
1,1024,  4096,0.000000,0.000000,0.003083,0.000632,0.012680,0.009873,0.000000,0.000000,  MPIIO, raw,2,1,0,2
1,1024,  4096,0.000000,0.000000,0.000053,0.000010,0.017971,0.000000,0.000000,0.000000,  POSIX,update,2,1,0,0
1,1024,  4096,0.000000,0.000000,0.000841,0.000276,0.028118,0.000000,0.000000,0.000000,  STDIO,update,2,1,0,0
1,1024,  4096,0.000000,0.000000,0.000907,0.000800,0.016739,0.000000,0.000000,0.000000,  MPIIO,update,2,1,0,0
