nodes,workload,access_pattern,file_sharing,process_grouping,rs,"('wo flush', 'best')","('wo flush', 'best_time')","('wo flush', 'worst')","('wo flush', 'worst_time')","('w flush', 'best')","('w flush', 'best_time')","('w flush', 'worst')","('w flush', 'worst_time')",improvement,improvement_f
32,raw,random,fpp,prod-cons inter node,65536,POSIX-pfs,0.044813000000000006,MPIIO-pfs,0.058341,POSIX-pfs,0.044813000000000006,MPIIO-pfs,0.058341,1.3018766875683394,1.3018766875683394
32,raw,random,fpp,prod-cons inter node,1048576,POSIX-pfs,2.264528,MPIIO-pfs,3.9564500000000002,POSIX-pfs,2.264528,MPIIO-pfs,3.9564500000000002,1.7471411260978007,1.7471411260978007
32,raw,random,fpp,prod-cons same node,4096,STDIO-shm,0.006402,MPIIO-pfs,0.021268,STDIO-shm,2.189484,MPIIO-pfs,0.021268,3.3220868478600436,188.40753807761814
32,raw,random,fpp,prod-cons same node,65536,POSIX-shm,0.015973,STDIO-pfs,0.076004,POSIX-shm,1.237299,STDIO-pfs,0.076004,4.758279596819633,41.23599286563615
32,raw,random,fpp,prod-cons same node,1048576,POSIX-shm,0.20074999999999998,STDIO-pfs,1.199023,POSIX-shm,2.8262980000000004,STDIO-pfs,1.199023,5.972717310087173,3.254548571367729
32,raw,random,fpp,same,4096,STDIO-shm,0.007051,MPIIO-pfs,0.029505,STDIO-shm,1.976432,MPIIO-pfs,0.029505,4.1845128350588565,157.1156977574632
32,raw,random,fpp,same,65536,POSIX-shm,0.024061,MPIIO-pfs,0.08354800000000001,POSIX-shm,1.4216039999999999,MPIIO-pfs,0.08354800000000001,3.4723411329537432,28.991283196823037
32,raw,random,fpp,same,1048576,MPIIO-shm,0.348474,MPIIO-pfs,7.03675,MPIIO-shm,5.499084000000001,MPIIO-pfs,7.03675,20.19304166164477,2.450574949616381
32,raw,seq,fpp,prod-cons inter node,4096,STDIO-pfs,0.015528,POSIX-pfs,0.024238,STDIO-pfs,0.015528,POSIX-pfs,0.024238,1.5609222050489437,1.5609222050489437
32,raw,seq,fpp,prod-cons inter node,65536,POSIX-pfs,0.047742,STDIO-pfs,0.060197,POSIX-pfs,0.047742,STDIO-pfs,0.060197,1.2608814042143186,1.2608814042143186
32,raw,seq,fpp,prod-cons inter node,1048576,STDIO-pfs,2.14562,MPIIO-pfs,2.339474,STDIO-pfs,2.14562,MPIIO-pfs,2.339474,1.0903487103960627,1.0903487103960627
32,raw,seq,fpp,prod-cons same node,4096,STDIO-shm,0.006423,MPIIO-pfs,0.021324000000000003,STDIO-shm,2.362282,MPIIO-pfs,0.021324000000000003,3.3199439514245683,395.9685443200273
32,raw,seq,fpp,prod-cons same node,65536,POSIX-shm,0.01593,MPIIO-pfs,0.063149,POSIX-shm,1.258614,MPIIO-pfs,0.063149,3.9641556811048333,37.33224303956458
32,raw,seq,fpp,prod-cons same node,1048576,STDIO-shm,0.20080900000000002,POSIX-pfs,1.473554,STDIO-shm,2.66463,POSIX-pfs,1.473554,7.338087436320085,4.210197481257539
32,raw,seq,fpp,same,4096,STDIO-shm,0.007,MPIIO-pfs,0.029296999999999997,STDIO-shm,2.5621590000000003,MPIIO-pfs,0.029296999999999997,4.185285714285714,199.76211608903915
32,raw,seq,fpp,same,65536,POSIX-shm,0.024051,STDIO-bb,0.0645288,POSIX-shm,1.353385,STDIO-bb,1.4130778,2.682998627915679,34.27010587721917
32,raw,seq,fpp,same,1048576,MPIIO-shm,0.348713,STDIO-pfs,3.270283,MPIIO-shm,4.533421,STDIO-pfs,3.270283,9.378150513459493,2.073317945864694
32,ro,random,fpp,same,4096,STDIO-shm,0.003428,POSIX-pfs,0.016799,STDIO-shm,0.015595000000000001,POSIX-pfs,0.016799,4.900525087514586,2.2520757654385055
32,ro,random,fpp,same,65536,POSIX-shm,0.009092,POSIX-pfs,0.037216,POSIX-shm,0.173249,POSIX-pfs,0.037216,4.093268807743071,6.635858740615903
32,ro,random,fpp,same,1048576,MPIIO-shm,0.102629,MPIIO-pfs,4.543161,MPIIO-shm,2.726194,MPIIO-pfs,4.543161,44.26780929366943,3.5692626901529394
32,ro,seq,fpp,same,4096,STDIO-shm,0.003391,POSIX-pfs,0.016803,STDIO-shm,0.015493,POSIX-pfs,0.016803,4.95517546446476,2.4352627570449354
32,ro,seq,fpp,same,65536,POSIX-shm,0.009101,POSIX-pfs,0.034734,POSIX-shm,0.177187,POSIX-pfs,0.034734,3.8165036809141855,7.561107792096954
32,ro,seq,fpp,same,1048576,POSIX-shm,0.101898,POSIX-pfs,1.482554,POSIX-shm,2.6484189999999996,POSIX-pfs,1.482554,14.549392529784686,2.056261708357307
32,update,random,fpp,same,4096,MPIIO-shm,0.005892,STDIO-bb,0.030918719999999997,MPIIO-shm,2.2816579999999997,STDIO-bb,2.1546977199999997,5.247576374745417,272.75309629458883
32,update,random,fpp,same,65536,MPIIO-shm,0.01242,MPIIO-pfs,0.046602,MPIIO-shm,1.757975,MPIIO-pfs,0.046602,3.752173913043478,63.85414843986671
32,update,random,fpp,same,1048576,STDIO-shm,0.158435,POSIX-pfs,67.282056,STDIO-shm,4.437683,POSIX-pfs,67.282056,424.66662038059775,17.95825473945445
32,update,seq,fpp,same,4096,MPIIO-shm,0.005942,STDIO-pfs,0.02793,MPIIO-shm,3.515082,STDIO-pfs,0.02793,4.700437563110063,201.87698139214334
32,update,seq,fpp,same,65536,MPIIO-shm,0.013403,STDIO-bb,0.046949279999999996,MPIIO-shm,1.646542,STDIO-bb,1.60832128,3.5028933820786388,55.35129133038272
32,update,seq,fpp,same,1048576,STDIO-shm,0.164976,POSIX-pfs,2.984902,STDIO-shm,3.9570290000000004,POSIX-pfs,2.984902,18.092946852875567,8.053628491101502
32,wo,seq,fpp,same,4096,STDIO-shm,0.003745,MPIIO-bb,0.021426719999999996,STDIO-shm,1.84169,MPIIO-bb,2.43677072,5.721420560747663,483.1717451523546
32,wo,seq,fpp,same,65536,POSIX-shm,0.014424,STDIO-bb,0.06430367999999999,POSIX-shm,1.873388,STDIO-bb,1.66170068,4.45810316139767,100.15439721999466
32,wo,seq,fpp,same,1048576,MPIIO-shm,0.225085,STDIO-pfs,2.267913,MPIIO-shm,4.358558,STDIO-pfs,2.267913,10.075806917386766,4.015402107845163
32,worm,random,fpp,prod-cons inter node,4096,STDIO-pfs,0.009525,MPIIO-pfs,0.014094,STDIO-pfs,0.009525,MPIIO-pfs,0.014094,1.4796850393700787,1.4796850393700787
32,worm,random,fpp,prod-cons inter node,65536,STDIO-pfs,0.037038,POSIX-pfs,0.051679,STDIO-pfs,0.037038,POSIX-pfs,0.051679,1.3952967222852206,1.3952967222852206
32,worm,random,fpp,prod-cons inter node,1048576,STDIO-pfs,3.019234,MPIIO-pfs,5.771532,STDIO-pfs,3.019234,MPIIO-pfs,5.771532,1.9115881710394091,1.9115881710394091
32,worm,random,fpp,prod-cons same node,4096,POSIX-bb,0.0015993600000000002,POSIX-pfs,0.012878,POSIX-bb,1.53507336,POSIX-pfs,0.012878,8.051970788315325,354.7526412879423
32,worm,random,fpp,prod-cons same node,65536,POSIX-shm,0.021367999999999998,STDIO-bb,0.04689215999999999,POSIX-shm,1.3191950000000001,STDIO-bb,1.43818716,2.1945039311119428,38.248641259540975
